
DisplayName                                                                                   DisplayVersion         Publi
                                                                                                                     sher
-----------                                                                                   --------------         -----
7-Zip 26.00 (x64)                                                                             26.00                  Igor…
Arduino                                                                                       1.8.19                 Ardu…
Arduino IDE 2.3.7                                                                             2.3.7                  Ardu…
BCUninstaller 5.9.0.0                                                                         5.9.0.0                Marc…
Blender                                                                                       5.0.1                  Blen…
Chess - Play & Learn                                                                          1.0                    Goog…
Clash Verge                                                                                   2.4.6                  Clas…
ClassIn                                                                                       5.4.2.2851             Beij…
ClickOnce Bootstrapper Package for Microsoft .NET Framework                                   4.8.09256              Micr…
CLion                                                                                         2025.3.2               JetB…
CLion 2025.2.3                                                                                252.26830.83           JetB…
Cursor (User)                                                                                 2.5.20                 Anys…
Dev-C++                                                                                       5.11                   Bloo…
DiagnosticsHub_CollectionService                                                              18.3.36721             Micr…
Discord                                                                                       1.0.9225               Disc…
Docker Desktop                                                                                4.61.0                 Dock…
Entity Framework 6.5.0 Tools  for Visual Studio 2022                                          6.5.0.0                Micr…
ESP-IDF Tools 2.4.1                                                                           2.4.1                  Espr…
Everything 1.4.1.1032 (x64)                                                                   1.4.1.1032             void…
Everything 1.4.1.1032 (x86)                                                                   1.4.1.1032             void…
Git                                                                                           2.50.0                 The …
GitHub CLI                                                                                    2.87.2                 GitH…
GitHub Desktop                                                                                3.5.5                  GitH…
Google Chrome                                                                                 145.0.7632.110         Goog…
Google 密码管理工具                                                                           1.0                    Goog…
icecap_collection_neutral                                                                     18.3.11407             Micr…
icecap_collection_neutral                                                                     17.14.36015            Micr…
icecap_collection_x64                                                                         17.14.36015            Micr…
icecap_collection_x64                                                                         18.3.11407             Micr…
Intel® oneAPI Base Toolkit                                                                    2025.2                 Inte…
IntelliTraceProfilerProxy                                                                     15.0.21225.01          Micr…
IntelliTraceProfilerProxy                                                                     15.0.21225.01          Micr…
Java(TM) SE Development Kit 24.0.2 (64-bit)                                                   24.0.2.0               Orac…
JetBrains Toolbox                                                                             3.2.0.0                JetB…
Kits Configuration Installer                                                                  10.1.26100.7705        Micr…
lichess.org                                                                                   1.0                    Goog…
MarkText 0.17.1                                                                               0.17.1                 Jocs 
Microsoft .NET 10.0 Templates 10.0.101 x64                                                    40.10.18029            Micr…
Microsoft .NET 10.0 Templates 10.0.103 x64                                                    40.10.52243            Micr…
Microsoft .NET AppHost Pack - 10.0.1 (x64)                                                    80.4.44025             Micr…
Microsoft .NET AppHost Pack - 10.0.3 (x64_arm64)                                              80.12.47319            Micr…
Microsoft .NET AppHost Pack - 10.0.3 (x64_x86)                                                80.12.47319            Micr…
Microsoft .NET AppHost Pack - 10.0.3 (x64)                                                    80.12.47319            Micr…
Microsoft .NET Framework 4.6.2 Developer Pack                                                 4.6.1590               Micr…
Microsoft .NET Framework 4.6.2 SDK                                                            4.6.01590              Micr…
Microsoft .NET Framework 4.6.2 Targeting Pack                                                 4.6.01590              Micr…
Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)                                           4.6.01590              Micr…
Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)                            4.7.02558              Micr…
Microsoft .NET Framework 4.7.1 Targeting Pack                                                 4.7.02558              Micr…
Microsoft .NET Framework 4.7.2 Targeting Pack                                                 4.7.03062              Micr…
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                                           4.7.03062              Micr…
Microsoft .NET Framework 4.8 SDK                                                              4.8.03928              Micr…
Microsoft .NET Framework 4.8 Targeting Pack                                                   4.8.03761              Micr…
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                                             4.8.03761              Micr…
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)                 4.8.09037              Micr…
Microsoft .NET Host - 10.0.3 (x64)                                                            80.12.47319            Micr…
Microsoft .NET Host - 10.0.3 (x86)                                                            80.12.47319            Micr…
Microsoft .NET Host - 6.0.36 (x64)                                                            48.144.23141           Micr…
Microsoft .NET Host - 8.0.24 (x64)                                                            64.96.47242            Micr…
Microsoft .NET Host FX Resolver - 10.0.1 (x64)                                                80.4.44025             Micr…
Microsoft .NET Host FX Resolver - 10.0.3 (x64)                                                80.12.47319            Micr…
Microsoft .NET Host FX Resolver - 10.0.3 (x86)                                                80.12.47319            Micr…
Microsoft .NET Host FX Resolver - 6.0.36 (x64)                                                48.144.23141           Micr…
Microsoft .NET Host FX Resolver - 8.0.24 (x64)                                                64.96.47242            Micr…
Microsoft .NET Runtime - 10.0.1 (x64)                                                         80.4.44025             Micr…
Microsoft .NET Runtime - 10.0.3 (x64)                                                         80.12.47319            Micr…
Microsoft .NET Runtime - 10.0.3 (x86)                                                         80.12.47319            Micr…
Microsoft .NET Runtime - 6.0.36 (x64)                                                         48.144.23141           Micr…
Microsoft .NET Runtime - 8.0.24 (x64)                                                         64.96.47242            Micr…
Microsoft .NET SDK 10.0.101 (x64)                                                             10.1.125.57005         Micr…
Microsoft .NET SDK 10.0.103 (x64)                                                             10.1.326.7603          Micr…
Microsoft .NET SDK 10.0.103 (x64) from Visual Studio                                          40.10.52243            Micr…
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                          24.0.28113             Micr…
Microsoft .NET Targeting Pack - 10.0.1 (x64)                                                  80.4.44025             Micr…
Microsoft .NET Targeting Pack - 10.0.3 (x64)                                                  80.12.47319            Micr…
Microsoft .NET Targeting Pack - 10.0.3 (x86)                                                  80.12.47319            Micr…
Microsoft .NET Toolset 10.0.101 (x64)                                                         40.10.18029            Micr…
Microsoft .NET Toolset 10.0.103 (x64)                                                         40.10.52243            Micr…
