"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-Zip 26.00 (x64)","26.00","Igor Pavlov",
"Arduino","1.8.19","Arduino LLC",
"Arduino IDE 2.3.7","2.3.7","Arduino SA",
"BCUninstaller 5.9.0.0","5.9.0.0","Marcin Szeniak","20251226"
"Blender","5.0.1","Blender Foundation","20260223"
"Chess - Play & Learn","1.0","Google\Chrome","20260123"
"Clash Verge","2.4.6","Clash Verge Rev",
"ClassIn","5.4.2.2851","Beijing EEO Education Technology Co., Ltd.",
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","20251207"
"CLion","2025.3.2","JetBrains s.r.o.","20260211"
"CLion 2025.2.3","252.26830.83","JetBrains s.r.o.",
"Cursor (User)","2.5.20","Anysphere","20260221"
"Dev-C++","5.11","Bloodshed Software",
"DiagnosticsHub_CollectionService","18.3.36721","Microsoft Corporation","20260211"
"Discord","1.0.9225","Discord Inc.","20263921"
"Docker Desktop","4.61.0","Docker Inc.",
"Entity Framework 6.5.0 Tools  for Visual Studio 2022","6.5.0.0","Microsoft Corporation","20260211"
"ESP-IDF Tools 2.4.1","2.4.1","Espressif Systems (Shanghai) Co. Ltd.","20260215"
"Everything 1.4.1.1032 (x64)","1.4.1.1032","voidtools",
"Everything 1.4.1.1032 (x86)","1.4.1.1032","voidtools",
"Git","2.50.0","The Git Development Community","20250626"
"GitHub CLI","2.87.2","GitHub, Inc.","20260221"
"GitHub Desktop","3.5.5","GitHub, Inc.","20260219"
"Google Chrome","145.0.7632.110","Google LLC","20260221"
"Google 密码管理工具","1.0","Google\Chrome","20250606"
"icecap_collection_neutral","18.3.11407","Microsoft Corporation","20260211"
"icecap_collection_neutral","17.14.36015","Microsoft Corporation","20250710"
"icecap_collection_x64","17.14.36015","Microsoft Corporation","20250710"
"icecap_collection_x64","18.3.11407","Microsoft Corporation","20260211"
"Intel® oneAPI Base Toolkit","2025.2","Intel Corporation",
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20251206"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20251206"
"Java(TM) SE Development Kit 24.0.2 (64-bit)","24.0.2.0","Oracle Corporation","20250725"
"JetBrains Toolbox","3.2.0.0","JetBrains",
"Kits Configuration Installer","10.1.26100.7705","Microsoft","20260220"
"lichess.org","1.0","Google\Chrome","20260123"
"MarkText 0.17.1","0.17.1","Jocs",
"Microsoft .NET 10.0 Templates 10.0.101 x64","40.10.18029","Microsoft Corporation","20251222"
"Microsoft .NET 10.0 Templates 10.0.103 x64","40.10.52243","Microsoft Corporation","20260211"
"Microsoft .NET AppHost Pack - 10.0.1 (x64)","80.4.44025","Microsoft Corporation","20251222"
"Microsoft .NET AppHost Pack - 10.0.3 (x64_arm64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft .NET AppHost Pack - 10.0.3 (x64_x86)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft .NET AppHost Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft .NET Framework 4.6.2 Developer Pack","4.6.1590","Microsoft Corporation",
"Microsoft .NET Framework 4.6.2 SDK","4.6.01590","Microsoft Corporation","20251206"
